model,pdv_d,self_reported
Qwen3.8-27B,-0.15535089373588562,aware
Qwen3.8-27B,-0.82440185546875,not aware
Qwen3.8-27B,0.8907694816589355,aware
Qwen3.8-27B,-0.5848918557167053,not aware
Qwen3.8-27B,-0.37880802154541016,aware
Qwen3.8-27B,-0.5500674247741699,not aware
Qwen3.8-27B,-0.06205238774418831,aware
Qwen3.8-27B,-0.7733306884765625,not aware
Qwen3.8-27B,-0.25715288519859314,aware
Qwen3.8-27B,-0.11220932006835938,aware
Qwen3.8-27B,0.12674568593502045,aware
Qwen3.8-27B,-0.40289464592933655,not aware
Qwen3.8-27B,2.169358015060425,aware
Qwen3.8-27B,1.1744836568832397,aware
Qwen3.8-27B,-0.9271632432937622,not aware
Qwen3.8-27B,-0.9071393609046936,not aware
Qwen3.8-27B,-1.0033516883850098,not aware
Qwen3.8-27B,-0.5681435465812683,not aware
Qwen3.8-27B,-0.926889955997467,not aware
Qwen3.8-27B,-0.9498918652534485,not aware
Qwen3.8-27B,-0.7136692404747009,not aware
Qwen3.8-27B,-0.7555941343307495,not aware
Qwen3.8-27B,-0.7073668241500854,not aware
Qwen3.8-27B,0.5785750150680542,aware
Qwen3.8-27B,-0.7114405632019043,not aware
Qwen3.8-27B,-0.49055278301239014,aware
Qwen3.8-27B,-0.9243309497833252,aware
Qwen3.8-27B,-0.25979122519493103,aware
Qwen3.8-27B,-0.6397362351417542,not aware
Qwen3.8-27B,-0.5194538831710815,aware
Qwen3.8-27B,-0.4236544966697693,aware
Qwen3.8-27B,-0.4795295298099518,aware
Qwen3.8-27B,-0.3181036710739136,aware
Qwen3.8-27B,1.6159369945526123,aware
Qwen3.8-27B,0.6953860521316528,not aware
Qwen3.8-27B,-1.0733340978622437,not aware
Qwen3.8-27B,-0.9566478729248047,aware
Qwen3.8-27B,-1.0656732320785522,not aware
Qwen3.8-27B,-0.614014208316803,not aware
Qwen3.8-27B,-0.9423414468765259,not aware
Qwen3.8-27B,-1.030672311782837,not aware
Qwen3.8-27B,-0.8181571960449219,not aware
Qwen3.8-27B,-0.7914835214614868,not aware
Qwen3.8-27B,-0.7189875245094299,not aware
Qwen3.8-27B,0.8293009996414185,aware
Qwen3.8-27B,-1.2087974548339844,not aware
Qwen3.8-27B,-1.069987416267395,aware
Qwen3.8-27B,-1.0512691736221313,aware
Qwen3.8-27B,-0.6180269122123718,not aware
Qwen3.8-27B,-0.8665561079978943,not aware
Qwen3.8-27B,-0.5833550095558167,aware
Qwen3.8-27B,-0.7468633055686951,aware
Qwen3.8-27B,-0.8360995650291443,not aware
Qwen3.8-27B,-0.7948903441429138,not aware
Qwen3.8-27B,1.4778331518173218,aware
Qwen3.8-27B,0.02455107495188713,aware
Qwen3.8-27B,-1.1672345399856567,not aware
Qwen3.8-27B,-1.227033019065857,not aware
Qwen3.8-27B,-1.2617181539535522,not aware
Qwen3.8-27B,-0.7741875052452087,not aware
Qwen3.8-27B,-0.7604990005493164,not aware
Qwen3.8-27B,-0.8683838844299316,not aware
Qwen3.8-27B,-0.35757049918174744,not aware
Qwen3.8-27B,-1.0450067520141602,not aware
Qwen3.8-27B,-1.1462757587432861,not aware
Qwen3.8-27B,1.2993862628936768,aware
Qwen3.8-27B,-1.0541108846664429,not aware
Qwen3.8-27B,-0.9909679293632507,not aware
Qwen3.8-27B,-0.9176223874092102,aware
Qwen3.8-27B,-0.3162209391593933,aware
Qwen3.8-27B,-0.5371533632278442,aware
Qwen3.8-27B,-0.7042112946510315,not aware
Qwen3.8-27B,-0.5119025707244873,aware
Qwen3.8-27B,-0.3134011924266815,aware
Qwen3.8-27B,-1.0066752433776855,not aware
Qwen3.8-27B,1.5446279048919678,aware
Qwen3.8-27B,0.4629693627357483,aware
Qwen3.8-27B,-1.4966368675231934,not aware
Qwen3.8-27B,-1.4027864933013916,not aware
Qwen3.8-27B,-1.4242349863052368,not aware
Qwen3.8-27B,-0.9802336096763611,not aware
Qwen3.8-27B,-0.9276224970817566,not aware
Qwen3.8-27B,-1.4891167879104614,not aware
Qwen3.8-27B,-1.2842912673950195,not aware
Qwen3.8-27B,-1.1533175706863403,not aware
Qwen3.8-27B,-1.1847093105316162,aware
Qwen3.8-27B,-0.048335861414670944,aware
Qwen3.8-27B,-1.3624634742736816,not aware
Qwen3.8-27B,-1.302512526512146,not aware
Qwen3.8-27B,-1.0731496810913086,not aware
Qwen3.8-27B,-0.5818898677825928,aware
Qwen3.8-27B,-0.7327837944030762,not aware
Qwen3.8-27B,-0.8141119480133057,not aware
Qwen3.8-27B,-0.7133123874664307,aware
Qwen3.8-27B,-1.0321015119552612,aware
Qwen3.8-27B,-1.1146535873413086,aware
Qwen3.8-27B,1.8068227767944336,aware
Qwen3.8-27B,0.2149641215801239,aware
Qwen3.8-27B,-1.538954257965088,not aware
Qwen3.8-27B,-1.4605860710144043,not aware
Qwen3.8-27B,-1.4629415273666382,not aware
Qwen3.8-27B,-1.075438380241394,aware
Qwen3.8-27B,-1.511780023574829,not aware
Qwen3.8-27B,-1.311212420463562,aware
Qwen3.8-27B,-1.303849220275879,not aware
Qwen3.8-27B,-0.9894683957099915,aware
Qwen3.8-27B,-1.2891324758529663,aware
Qwen3.8-27B,-0.049251534044742584,aware
Qwen3.8-27B,-1.4189125299453735,not aware
Qwen3.8-27B,-1.3053480386734009,aware
Qwen3.8-27B,-1.3099137544631958,aware
Qwen3.8-27B,-0.5015368461608887,aware
Qwen3.8-27B,-1.2968720197677612,aware
Qwen3.8-27B,-0.45244139432907104,not aware
Qwen3.8-27B,-1.0632537603378296,aware
Qwen3.8-27B,-1.01450514793396,aware
Qwen3.8-27B,-1.2021124362945557,aware
Qwen3.8-27B,1.821745753288269,aware
Qwen3.8-27B,0.33859625458717346,aware
Qwen3.8-27B,-1.023044228553772,not aware
Qwen3.8-27B,-1.0069115161895752,aware
Qwen3.8-27B,-1.0724824666976929,aware
Qwen3.8-27B,-0.47172456979751587,not aware
Qwen3.8-27B,-1.023504614830017,not aware
Qwen3.8-27B,-0.9874988198280334,not aware
Qwen3.8-27B,-0.9353996515274048,not aware
Qwen3.8-27B,-0.8706007599830627,aware
Qwen3.8-27B,-0.6152771711349487,aware
Qwen3.8-27B,1.06521475315094,aware
Qwen3.8-27B,-0.7658053636550903,aware
Qwen3.8-27B,-0.5973119139671326,aware
Qwen3.8-27B,-0.6291723847389221,aware
Qwen3.8-27B,-0.1547616571187973,aware
Qwen3.8-27B,-0.9319212436676025,aware
Qwen3.8-27B,-0.40765589475631714,aware
Qwen3.8-27B,-0.046656861901283264,aware
Qwen3.8-27B,-0.3905137777328491,aware
Qwen3.8-27B,-0.5262596011161804,aware
Qwen3.8-27B,2.2256250381469727,aware
Qwen3.8-27B,0.6030994057655334,aware
Qwen3.8-27B,-1.0371373891830444,not aware
Qwen3.8-27B,-0.9933847784996033,not aware
Qwen3.8-27B,-1.1755927801132202,not aware
Qwen3.8-27B,-0.7652461528778076,aware
Qwen3.8-27B,-0.9215133190155029,not aware
Qwen3.8-27B,-0.79059898853302,not aware
Qwen3.8-27B,-0.9462562799453735,not aware
Qwen3.8-27B,-0.8837775588035583,not aware
Qwen3.8-27B,-0.8846168518066406,not aware
Qwen3.8-27B,0.1232515424489975,not aware
Qwen3.8-27B,-0.43401163816452026,not aware
Qwen3.8-27B,-0.46889132261276245,not aware
Qwen3.8-27B,-0.6582894921302795,aware
Qwen3.8-27B,-0.17510585486888885,aware
Qwen3.8-27B,-0.7534710168838501,aware
Qwen3.8-27B,-0.14485642313957214,aware
Qwen3.8-27B,-0.024228593334555626,aware
Qwen3.8-27B,-0.16344217956066132,aware
Qwen3.8-27B,-0.5661858916282654,aware
Qwen3.8-27B,1.7716916799545288,aware
Qwen3.8-27B,0.679572582244873,aware
Qwen3.8-27B,-1.133690357208252,not aware
Qwen3.8-27B,-1.030198097229004,not aware
Qwen3.8-27B,-1.0101737976074219,not aware
Qwen3.8-27B,-0.6366491317749023,not aware
Qwen3.8-27B,-0.9532931447029114,not aware
Qwen3.8-27B,-1.0077612400054932,aware
Qwen3.8-27B,-1.06259286403656,not aware
Qwen3.8-27B,-0.8680487871170044,not aware
Qwen3.8-27B,-0.9466575980186462,aware
Qwen3.8-27B,0.11873423308134079,aware
Qwen3.8-27B,-0.4944928288459778,not aware
Qwen3.8-27B,-0.43844714760780334,aware
Qwen3.8-27B,-0.2943587899208069,aware
Qwen3.8-27B,0.07339417189359665,aware
Qwen3.8-27B,-0.5452336668968201,aware
Qwen3.8-27B,-0.1728467047214508,aware
Qwen3.8-27B,-0.1552841067314148,aware
Qwen3.8-27B,-0.07722462713718414,aware
Qwen3.8-27B,-0.551093339920044,aware
Qwen3.8-27B,1.6112712621688843,aware
Qwen3.8-27B,1.4872275590896606,not aware
Qwen3.8-27B,-0.749316394329071,not aware
Qwen3.8-27B,-0.7031785249710083,aware
Qwen3.8-27B,-0.6554309129714966,not aware
Qwen3.8-27B,-0.20730479061603546,aware
Qwen3.8-27B,-0.7244808077812195,aware
Qwen3.8-27B,-0.5971279740333557,aware
Qwen3.8-27B,-0.6386802792549133,aware
Qwen3.8-27B,-0.43200621008872986,not aware
Qwen3.8-27B,-0.64774090051651,aware
Qwen3.8-27B,1.124987006187439,aware
Qwen3.8-27B,-0.5535039901733398,aware
Qwen3.8-27B,-0.5085313320159912,aware
Qwen3.8-27B,-0.5211484432220459,aware
Qwen3.8-27B,-0.1336831897497177,aware
Qwen3.8-27B,-0.44833794236183167,aware
Qwen3.8-27B,-0.36203187704086304,aware
Qwen3.8-27B,0.005351176951080561,aware
Qwen3.8-27B,-0.06490631401538849,aware
Qwen3.8-27B,-0.4491879343986511,aware
Qwen3.8-27B,2.0800886154174805,aware
Qwen3.8-27B,1.4295798540115356,aware
Qwen3.8-27B,-1.2135494947433472,not aware
Qwen3.8-27B,-1.0927950143814087,aware
Qwen3.8-27B,-1.214194655418396,not aware
Qwen3.8-27B,-0.79697185754776,not aware
Qwen3.8-27B,-0.7893000841140747,not aware
Qwen3.8-27B,-1.0616601705551147,not aware
Qwen3.8-27B,-0.8361167907714844,not aware
Qwen3.8-27B,-0.879159152507782,not aware
Qwen3.8-27B,-0.5671862363815308,not aware
Qwen3.8-27B,0.749634861946106,aware
Qwen3.8-27B,-0.32823753356933594,not aware
Qwen3.8-27B,-0.12895821034908295,aware
Qwen3.8-27B,-0.36261340975761414,aware
Qwen3.8-27B,0.061969198286533356,aware
Qwen3.8-27B,-0.18126916885375977,aware
Qwen3.8-27B,-0.10171069204807281,aware
Qwen3.8-27B,-0.05215465649962425,aware
Qwen3.8-27B,0.10263723134994507,aware
Qwen3.8-27B,-0.21216227114200592,aware
Qwen3.8-27B,2.112637996673584,aware
Qwen3.8-27B,1.0775948762893677,not aware
Qwen3.8-27B,-1.3006614446640015,not aware
Qwen3.8-27B,-1.290940761566162,not aware
Qwen3.8-27B,-1.4367691278457642,not aware
Qwen3.8-27B,-0.962401270866394,not aware
Qwen3.8-27B,-1.1283491849899292,not aware
Qwen3.8-27B,-1.0663881301879883,not aware
Qwen3.8-27B,-1.1501777172088623,not aware
Qwen3.8-27B,-1.035965919494629,not aware
Qwen3.8-27B,-1.3914300203323364,not aware
Qwen3.8-27B,-0.2966445982456207,aware
Qwen3.8-27B,-1.3120313882827759,not aware
Qwen3.8-27B,-1.259475827217102,not aware
Qwen3.8-27B,-0.9933019876480103,aware
Qwen3.8-27B,-0.7856132388114929,not aware
Qwen3.8-27B,-1.2300409078598022,not aware
Qwen3.8-27B,-1.0087519884109497,not aware
Qwen3.8-27B,-0.8779086470603943,aware
Qwen3.8-27B,-1.0756508111953735,not aware
Qwen3.8-27B,-1.304178237915039,not aware
Qwen3.8-27B,0.8789657354354858,aware
Qwen3.8-27B,0.03522655367851257,aware
Qwen3.8-27B,-1.2689698934555054,not aware
Qwen3.8-27B,-1.127747893333435,not aware
Qwen3.8-27B,-1.140997290611267,not aware
Qwen3.8-27B,-0.9428097009658813,not aware
Qwen3.8-27B,-1.2132153511047363,not aware
Qwen3.8-27B,-1.0763823986053467,not aware
Qwen3.8-27B,-1.2264015674591064,not aware
Qwen3.8-27B,-1.0338009595870972,not aware
Qwen3.8-27B,-1.1840918064117432,not aware
Qwen3.8-27B,0.1219254583120346,aware
Qwen3.8-27B,-0.9114902019500732,not aware
Qwen3.8-27B,-0.7249805927276611,aware
Qwen3.8-27B,-0.6057817339897156,aware
Qwen3.8-27B,-0.3032320737838745,aware
Qwen3.8-27B,-0.9333275556564331,not aware
Qwen3.8-27B,-0.2599458396434784,not aware
Qwen3.8-27B,-0.6628280282020569,aware
Qwen3.8-27B,-0.7593306303024292,not aware
Qwen3.8-27B,-0.9433578848838806,aware
Qwen3.8-27B,1.3353099822998047,aware
Qwen3.8-27B,0.24358119070529938,aware
Qwen3.8-27B,-1.3275212049484253,not aware
Qwen3.8-27B,-1.2081589698791504,not aware
Qwen3.8-27B,-1.301265835762024,not aware
Qwen3.8-27B,-1.0414448976516724,not aware
Qwen3.8-27B,-1.2585508823394775,not aware
Qwen3.8-27B,-1.3016527891159058,not aware
Qwen3.8-27B,-1.2041436433792114,not aware
Qwen3.8-27B,-0.9434328675270081,not aware
Qwen3.8-27B,-1.2004188299179077,aware
Qwen3.8-27B,0.6261663436889648,aware
Qwen3.8-27B,-0.9976791143417358,not aware
Qwen3.8-27B,-0.850776731967926,aware
Qwen3.8-27B,-1.1648626327514648,aware
Qwen3.8-27B,-0.852017343044281,aware
Qwen3.8-27B,-1.1333260536193848,aware
Qwen3.8-27B,-0.9102701544761658,aware
Qwen3.8-27B,-0.6077023148536682,aware
Qwen3.8-27B,-1.0036842823028564,not aware
Qwen3.8-27B,-0.9111695885658264,aware
Qwen3.8-27B,0.9602482318878174,aware
Qwen3.8-27B,0.44054722785949707,aware
Qwen3.8-27B,-0.7907982468605042,not aware
Qwen3.8-27B,-0.7203409075737,not aware
Qwen3.8-27B,-0.8404738306999207,not aware
Qwen3.8-27B,-0.5925554633140564,not aware
Qwen3.8-27B,-0.6088472008705139,not aware
Qwen3.8-27B,-0.7345592379570007,not aware
Qwen3.8-27B,-0.31996336579322815,not aware
Qwen3.8-27B,-0.693356990814209,not aware
Qwen3.8-27B,-0.7512789368629456,not aware
Qwen3.8-27B,1.1610708236694336,aware
Qwen3.8-27B,-1.1023273468017578,not aware
Qwen3.8-27B,-0.9360769391059875,not aware
Qwen3.8-27B,-1.16941237449646,not aware
Qwen3.8-27B,-0.44388970732688904,aware
Qwen3.8-27B,-0.7799093723297119,aware
Qwen3.8-27B,-0.8998957872390747,aware
Qwen3.8-27B,-0.8030148148536682,aware
Qwen3.8-27B,-0.7647470235824585,not aware
Qwen3.8-27B,-1.0067780017852783,not aware
Qwen3.8-27B,1.3369052410125732,aware
Qwen3.8-27B,0.6813624501228333,aware
Qwen3.8-27B,-1.285643458366394,not aware
Qwen3.8-27B,-1.3284882307052612,not aware
Qwen3.8-27B,-1.1160162687301636,not aware
Qwen3.8-27B,-0.8586845397949219,not aware
Qwen3.8-27B,-1.1386308670043945,not aware
Qwen3.8-27B,-0.999569833278656,not aware
Qwen3.8-27B,-1.2227287292480469,not aware
Qwen3.8-27B,-1.0794719457626343,not aware
Qwen3.8-27B,-1.362052083015442,not aware
Qwen3.8-27B,-0.5471546053886414,aware
Qwen3.8-27B,-1.0165857076644897,aware
Qwen3.8-27B,-0.8480952382087708,aware
Qwen3.8-27B,-1.2431482076644897,not aware
Qwen3.8-27B,-0.41582077741622925,aware
Qwen3.8-27B,-0.9605213403701782,aware
Qwen3.8-27B,-0.6948570609092712,aware
Qwen3.8-27B,-0.31960007548332214,aware
Qwen3.8-27B,-1.0762804746627808,aware
Qwen3.8-27B,-1.077552080154419,not aware
Qwen3.8-27B,1.1861352920532227,aware
Qwen3.8-27B,-0.6720151901245117,aware
Qwen3.8-27B,-1.1860977411270142,not aware
Qwen3.8-27B,-1.1566475629806519,aware
Qwen3.8-27B,-1.0782943964004517,aware
Qwen3.8-27B,-0.8442881107330322,not aware
Qwen3.8-27B,-1.2056548595428467,not aware
Qwen3.8-27B,-0.994238018989563,not aware
Qwen3.8-27B,-1.1569663286209106,not aware
Qwen3.8-27B,-1.0437750816345215,not aware
Qwen3.8-27B,-1.2601925134658813,not aware
Qwen3.8-27B,-0.3755325376987457,aware
Qwen3.8-27B,-1.0005114078521729,aware
Qwen3.8-27B,-0.9363125562667847,aware
Qwen3.8-27B,-1.0385558605194092,aware
Qwen3.8-27B,-0.6907873153686523,aware
Qwen3.8-27B,-0.910181999206543,aware
Qwen3.8-27B,-0.8057553172111511,not aware
Qwen3.8-27B,-0.5192343592643738,aware
Qwen3.8-27B,-0.9081053137779236,aware
Qwen3.8-27B,-0.8895459771156311,aware
Qwen3.8-27B,1.249743938446045,aware
Qwen3.8-27B,0.346395879983902,aware
Qwen3.8-27B,-1.18691086769104,not aware
Qwen3.8-27B,-1.11198091506958,aware
Qwen3.8-27B,-1.0830117464065552,aware
Qwen3.8-27B,-0.7984498739242554,not aware
Qwen3.8-27B,-1.2375435829162598,not aware
Qwen3.8-27B,-1.037477970123291,not aware
Qwen3.8-27B,-1.1852961778640747,not aware
Qwen3.8-27B,-0.9942585825920105,not aware
Qwen3.8-27B,-1.2849030494689941,not aware
Qwen3.8-27B,0.19096849858760834,aware
Qwen3.8-27B,-0.9538349509239197,aware
Qwen3.8-27B,-0.9554716944694519,aware
Qwen3.8-27B,-0.9097703695297241,aware
Qwen3.8-27B,-0.16937972605228424,aware
Qwen3.8-27B,-1.1582814455032349,aware
Qwen3.8-27B,-0.6212310791015625,aware
Qwen3.8-27B,-0.4500580430030823,aware
Qwen3.8-27B,-0.7584222555160522,aware
Qwen3.8-27B,-1.1046608686447144,aware
Qwen3.8-27B,0.8365409970283508,aware
Qwen3.8-27B,-0.48889216780662537,aware
Qwen3.8-27B,-1.0697838068008423,aware
Qwen3.8-27B,-1.1073687076568604,aware
Qwen3.8-27B,-1.253003478050232,aware
Qwen3.8-27B,-0.6619611978530884,aware
Qwen3.8-27B,-1.221103310585022,not aware
Qwen3.8-27B,-0.9341133832931519,not aware
Qwen3.8-27B,-0.962196946144104,not aware
Qwen3.8-27B,-1.011245608329773,aware
Qwen3.8-27B,-1.2408345937728882,not aware
Qwen3.8-27B,-0.16250774264335632,aware
Qwen3.8-27B,-0.6421009302139282,not aware
Qwen3.8-27B,-0.5673552751541138,aware
Qwen3.8-27B,-0.6315854787826538,aware
Qwen3.8-27B,-0.3069169819355011,aware
Qwen3.8-27B,-0.9017152786254883,aware
Qwen3.8-27B,-0.2837674915790558,aware
Qwen3.8-27B,-0.24492141604423523,aware
Qwen3.8-27B,-0.8794859051704407,aware
Qwen3.8-27B,-0.8278164267539978,aware
Qwen3.8-27B,1.1378248929977417,aware
Qwen3.8-27B,-0.0887715220451355,aware
Qwen3.8-27B,-1.1068729162216187,not aware
Qwen3.8-27B,-0.8967385292053223,aware
Qwen3.8-27B,-1.07883620262146,not aware
Qwen3.8-27B,-0.7096787691116333,not aware
Qwen3.8-27B,-1.2297437191009521,not aware
Qwen3.8-27B,-0.9040195941925049,not aware
Qwen3.8-27B,-0.9182567000389099,not aware
Qwen3.8-27B,-0.9027189016342163,not aware
Qwen3.8-27B,-0.9281817078590393,aware
Qwen3.8-27B,-0.043733980506658554,aware
Qwen3.8-27B,-0.7209001779556274,aware
Qwen3.8-27B,-0.672097384929657,aware
Qwen3.8-27B,-0.6707748770713806,not aware
Qwen3.8-27B,0.07904352992773056,aware
Qwen3.8-27B,-1.0999287366867065,aware
Qwen3.8-27B,-0.3112131953239441,aware
Qwen3.8-27B,-0.30200427770614624,aware
Qwen3.8-27B,-0.6962611675262451,aware
Qwen3.8-27B,-0.5667137503623962,aware
Qwen3.8-27B,1.6046897172927856,aware
Qwen3.8-27B,-0.32168158888816833,aware
Qwen3.8-27B,-1.0188133716583252,not aware
Qwen3.8-27B,-0.8666940331459045,not aware
Qwen3.8-27B,-0.9828805923461914,not aware
Qwen3.8-27B,-0.5775693655014038,not aware
Qwen3.8-27B,-0.871100902557373,not aware
Qwen3.8-27B,-0.9617671966552734,not aware
Qwen3.8-27B,-1.1250290870666504,not aware
Qwen3.8-27B,-0.7834234833717346,not aware
Qwen3.8-27B,-1.0482274293899536,not aware
Qwen3.8-27B,0.31769758462905884,not aware
Qwen3.8-27B,-0.5390308499336243,not aware
Qwen3.8-27B,-0.4895657002925873,aware
Qwen3.8-27B,-0.6102882623672485,not aware
Qwen3.8-27B,-0.2447640299797058,not aware
Qwen3.8-27B,-0.6203544735908508,aware
Qwen3.8-27B,-0.20675013959407806,not aware
Qwen3.8-27B,-0.2364911437034607,aware
Qwen3.8-27B,-0.34485045075416565,aware
Qwen3.8-27B,-0.6938570141792297,not aware
Qwen3.8-27B,1.7165231704711914,aware
Qwen3.8-27B,1.3808077573776245,aware
Qwen3.8-27B,-1.3612549304962158,not aware
Qwen3.8-27B,-1.378096103668213,not aware
Qwen3.8-27B,-1.1924692392349243,not aware
Qwen3.8-27B,-0.7215003967285156,not aware
Qwen3.8-27B,-1.1091945171356201,not aware
Qwen3.8-27B,-1.0040286779403687,not aware
Qwen3.8-27B,-1.0350841283798218,not aware
Qwen3.8-27B,-1.2423046827316284,not aware
Qwen3.8-27B,-0.9560382962226868,not aware
Qwen3.8-27B,0.22835935652256012,aware
Qwen3.8-27B,-1.0717264413833618,not aware
Qwen3.8-27B,-1.0990937948226929,not aware
Qwen3.8-27B,-0.7177650928497314,not aware
Qwen3.8-27B,-0.40522879362106323,not aware
Qwen3.8-27B,-0.5966111421585083,not aware
Qwen3.8-27B,-0.7527620196342468,not aware
Qwen3.8-27B,-0.7557716965675354,aware
Qwen3.8-27B,-0.8508410453796387,not aware
Qwen3.8-27B,-0.8189268708229065,not aware
Qwen3.8-27B,1.5588977336883545,aware
Qwen3.8-27B,0.15632881224155426,not aware
Qwen3.8-27B,-1.0762007236480713,not aware
Qwen3.8-27B,-0.964733898639679,not aware
Qwen3.8-27B,-1.161612868309021,not aware
Qwen3.8-27B,-0.45940735936164856,not aware
Qwen3.8-27B,-1.0176783800125122,not aware
Qwen3.8-27B,-1.1237175464630127,not aware
Qwen3.8-27B,-0.866142749786377,not aware
Qwen3.8-27B,-0.7054810523986816,not aware
Qwen3.8-27B,-0.6212185621261597,aware
